top1,wom,sm,walk,billboard,patronage,importantconvenience,importantvariety,importantprice,importanthealthy,importanttaste,importantambience,chipotleconvenient,chipotlevariety,chipotleprice,chipotlehealthy,chipotletaste,chipotleambience,female,age,income,plan,spending,buylocal,healthyimportanttome,
panera bread,1,0,0,0,2,5,5,4,3,5,5,2,5,5,5,5,3,0,29,80871,2,2,1,1,
KFC,0,0,1,0,0,5,5,5,5,5,5,3,3,2,3,3,3,1,34,36861,3,2,1,1,
Subway,1,0,0,0,2,4,5,5,5,5,4,3,4,5,5,5,5,0,33,31344,1,2,1,2,
Panera,1,0,0,0,0,5,5,5,5,5,5,3,3,3,5,3,3,0,45,51424,3,4,1,1,
KFC,1,0,0,0,0,4,4,4,4,5,4,4,4,4,4,5,4,0,48,38160,2,3,2,2,
El Pollo Loco,1,0,0,0,3,4,4,4,4,4,4,4,5,5,5,5,3,0,51,31904,1,4,2,1,
El Pollo Loco,1,0,0,0,0,4,4,5,3,5,4,3,2,2,5,4,3,0,33,25853,2,1,2,3,
Chipotle,0,0,1,0,0,5,4,4,4,4,4,4,4,4,4,4,4,0,51,41883,2,2,2,2,
El Pollo Loco,1,0,1,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,50,35736,2,4,2,2,
Subway,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,1,55,58912,2,2,2,2,
El Pollo Loco,0,0,1,0,0,5,5,5,4,5,4,5,3,3,3,5,5,1,33,25752,2,2,2,2,
El Pollo Loco,0,1,0,0,0,4,4,5,5,5,4,3,5,5,5,5,5,0,73,24393,3,4,2,1,
Chipotle,1,0,0,0,0,4,5,4,5,5,4,2,4,3,3,4,3,0,18,26939,2,3,2,2,
In-n-out,1,0,0,0,0,4,4,4,5,5,,4,5,4,5,5,4,0,19,18342,1,3,2,1,
In-n-out,1,0,0,0,0,5,5,5,5,5,4,5,5,4,5,5,4,0,37,50830,1,2,2,1,
Chipole,0,0,1,0,0,4,3,5,4,5,4,4,3,6,5,3,3,0,49,38988,1,4,2,2,
In-n-out,1,0,0,0,0,5,5,5,4,5,5,3,3,3,3,3,3,0,47,23266,2,3,2,2,
mcdonalds,1,0,0,0,0,4,3,4,5,5,4,1,3,3,4,5,3,0,28,35328,1,4,2,1,
In-n-out,1,0,0,0,0,5,,5,,5,5,4,3,5,3,5,5,1,77,37546,2,4,2,1,
panera bread,0,0,0,0,2,,,,,,,,,,,,,0,23,18254,2,2,1,1,
KFC,0,0,0,0,2,,,,,,,,,,,,,0,22,20510,3,2,1,2,
In-n-out,0,0,0,0,1,,,,,,,,,,,,,0,21,13752,2,2,2,2,
In-n-out,1,0,0,0,2,3,4,3,5,5,4,4,4,4,4,5,4,0,34,13921,2,3,2,2,
Mcdonalds,1,0,0,0,0,4,5,5,5,5,4,4,4,5,5,5,5,0,24,53880,2,2,2,1,
Chipotle,1,0,0,0,3,4,4,4,2,5,4,4,2,3,5,3,2,0,33,36126,3,2,1,2,
Panera,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,19,24587,1,3,2,2,
Panera,1,0,0,0,0,5,5,5,4,5,4,2,3,3,5,4,,0,64,57562,2,2,1,2,
Panera,0,0,1,0,0,5,5,5,5,5,5,5,3,3,3,4,5,0,64,20472,2,2,2,2,
Chipotle,1,0,0,0,0,4,4,5,5,5,4,3,5,3,5,5,3,0,66,58516,1,4,2,2,
Chipotle,0,0,1,0,0,4,4,4,4,5,5,4,3,2,4,4,4,0,54,26830,3,2,2,2,
In-n-out,1,0,0,0,2,4,4,4,4,5,4,5,5,5,5,5,5,0,45,53888,2,2,3,2,
In-n-out,1,0,0,0,0,5,5,5,5,5,5,4,,4,5,4,4,0,55,50422,2,4,2,2,
